 File has been used for this event: product_2017-11-01_121509.csv
 Type of the imported file: csv
 Revision of the which is used: 2
 Mode of event: Insert
 Total no of records: 193
 Rows handled on each iterations (Based on your server configuration): 1
 File used to import data into: product (product)
[2017-11-01 20:38:06] Message: Inserted product ID: 1107,  Status: publish 
[2017-11-01 20:38:07] Message: Inserted product ID: 1108,  Status: publish 
[2017-11-01 20:38:10] Message: Inserted product ID: 1111,  Status: publish 
[2017-11-01 20:38:13] Message: Inserted product ID: 1114,  Status: publish 
[2017-11-01 20:38:16] Message: Inserted product ID: 1115,  Status: publish 
[2017-11-01 20:38:17] Message: Inserted product ID: 1116,  Status: publish 
[2017-11-01 20:38:20] Message: Inserted product ID: 1119,  Status: publish 
[2017-11-01 20:38:23] Message: Inserted product ID: 1122,  Status: publish 
[2017-11-01 20:38:25] Message: Inserted product ID: 1123,  Status: publish 
[2017-11-01 20:38:26] Message: Inserted product ID: 1124,  Status: publish 
[2017-11-01 20:38:28] Message: Inserted product ID: 1125,  Status: publish 
[2017-11-01 20:38:30] Message: Inserted product ID: 1128,  Status: publish 
[2017-11-01 20:38:33] Message: Inserted product ID: 1132,  Status: publish 
[2017-11-01 20:38:36] Message: Inserted product ID: 1133,  Status: publish 
[2017-11-01 20:38:37] Message: Inserted product ID: 1134,  Status: publish 
[2017-11-01 20:38:40] Message: Inserted product ID: 1137,  Status: publish 
[2017-11-01 20:38:43] Message: Inserted product ID: 1140,  Status: publish 
[2017-11-01 20:38:45] Message: Inserted product ID: 1141,  Status: publish 
[2017-11-01 20:38:46] Message: Inserted product ID: 1142,  Status: publish 
[2017-11-01 20:38:48] Message: Inserted product ID: 1143,  Status: publish 
[2017-11-01 20:38:50] Message: Inserted product ID: 1147,  Status: publish 
[2017-11-01 20:38:53] Message: Inserted product ID: 1150,  Status: publish 
[2017-11-01 20:38:55] Message: Inserted product ID: 1151,  Status: publish 
[2017-11-01 20:38:56] Message: Inserted product ID: 1152,  Status: publish 
[2017-11-01 20:38:58] Message: Inserted product ID: 1153,  Status: publish 
[2017-11-01 20:39:00] Message: Inserted product ID: 1156,  Status: publish 
[2017-11-01 20:39:03] Message: Inserted product ID: 1160,  Status: publish 
[2017-11-01 20:39:06] Message: Inserted product ID: 1161,  Status: publish 
[2017-11-01 20:39:07] Message: Inserted product ID: 1162,  Status: publish 
[2017-11-01 20:39:10] Message: Inserted product ID: 1165,  Status: publish 
[2017-11-01 20:39:13] Message: Inserted product ID: 1168,  Status: publish 
[2017-11-01 20:39:15] Message: Inserted product ID: 1169,  Status: publish 
[2017-11-01 20:39:16] Message: Inserted product ID: 1170,  Status: publish 
[2017-11-01 20:39:17] Message: Inserted product ID: 1171,  Status: publish 
[2017-11-01 20:39:20] Message: Inserted product ID: 1174,  Status: publish 
[2017-11-01 20:39:23] Message: Inserted product ID: 1178,  Status: publish 
[2017-11-01 20:39:26] Message: Inserted product ID: 1179,  Status: publish 
[2017-11-01 20:39:27] Message: Inserted product ID: 1180,  Status: publish 
[2017-11-01 20:39:30] Message: Inserted product ID: 1183,  Status: publish 
[2017-11-01 20:39:33] Message: Inserted product ID: 1186,  Status: publish 
[2017-11-01 20:39:35] Message: Inserted product ID: 1187,  Status: publish 
[2017-11-01 20:39:36] Message: Inserted product ID: 1188,  Status: publish 
[2017-11-01 20:39:38] Message: Inserted product ID: 1189,  Status: publish 
[2017-11-01 20:39:40] Message: Inserted product ID: 1192,  Status: publish 
[2017-11-01 20:39:43] Message: Inserted product ID: 1196,  Status: publish 
[2017-11-01 20:39:46] Message: Inserted product ID: 1197,  Status: publish 
[2017-11-01 20:39:47] Message: Inserted product ID: 1198,  Status: publish 
[2017-11-01 20:39:50] Message: Inserted product ID: 1202,  Status: publish 
[2017-11-01 20:39:52] Message: Inserted product ID: 1204,  Status: publish 
[2017-11-01 20:39:55] Message: Inserted product ID: 1205,  Status: publish 
[2017-11-01 20:39:56] Message: Inserted product ID: 1206,  Status: publish 
[2017-11-01 20:39:58] Message: Inserted product ID: 1207,  Status: publish 
[2017-11-01 20:40:00] Message: Inserted product ID: 1211,  Status: publish 
[2017-11-01 20:40:03] Message: Inserted product ID: 1214,  Status: publish 
[2017-11-01 20:40:05] Message: Inserted product ID: 1215,  Status: publish 
[2017-11-01 20:40:06] Message: Inserted product ID: 1216,  Status: publish 
[2017-11-01 20:40:08] Message: Inserted product ID: 1217,  Status: publish 
[2017-11-01 20:40:10] Message: Inserted product ID: 1220,  Status: publish 
[2017-11-01 20:40:13] Message: Inserted product ID: 1224,  Status: publish 
[2017-11-01 20:40:16] Message: Inserted product ID: 1225,  Status: publish 
[2017-11-01 20:40:17] Message: Inserted product ID: 1226,  Status: publish 
